,Algorithm,Num_MTAs,Runtime,Result
0,Backtracking,1,0.0,1
1,Remembering No Goods,1,0.0,1
2,Backtracking,1,0.0,1
3,Remembering No Goods,1,0.0,1
4,Backtracking,1,0.0,1
5,Remembering No Goods,1,0.0,1
6,Backtracking,1,0.0,1
7,Remembering No Goods,1,0.0,1
8,Backtracking,1,0.0,1
9,Remembering No Goods,1,0.0,1
10,Backtracking,1,0.0,1
11,Remembering No Goods,1,0.0,1
12,Backtracking,1,0.0,1
13,Remembering No Goods,1,0.0,1
14,Backtracking,1,0.0,1
15,Remembering No Goods,1,0.0,1
16,Backtracking,1,0.0,1
17,Remembering No Goods,1,0.0,1
18,Backtracking,1,0.0,1
19,Remembering No Goods,1,0.0,1
20,Backtracking,1,0.0,1
21,Remembering No Goods,1,0.0,1
22,Backtracking,1,0.0,1
23,Remembering No Goods,1,0.0,1
24,Backtracking,1,0.0,1
25,Remembering No Goods,1,0.0,1
26,Backtracking,1,0.0,1
27,Remembering No Goods,1,8.027315139770508,1
28,Backtracking,1,0.0,1
29,Remembering No Goods,1,0.0,1
30,Backtracking,2,15.667200088500977,1
31,Remembering No Goods,2,0.0,1
32,Backtracking,2,0.0,1
33,Remembering No Goods,2,4.652500152587891,1
34,Backtracking,2,0.0,1
35,Remembering No Goods,2,0.0,1
36,Backtracking,2,0.0,1
37,Remembering No Goods,2,0.0,1
38,Backtracking,2,0.0,1
39,Remembering No Goods,2,0.0,1
40,Backtracking,2,0.0,1
41,Remembering No Goods,2,0.8802413940429688,1
42,Backtracking,2,0.0,1
43,Remembering No Goods,2,0.0,1
44,Backtracking,2,0.0,1
45,Remembering No Goods,2,0.0,1
46,Backtracking,2,0.0,1
47,Remembering No Goods,2,0.0,1
48,Backtracking,2,0.0,1
49,Remembering No Goods,2,0.0,1
50,Backtracking,2,0.0,1
51,Remembering No Goods,2,0.0,1
52,Backtracking,2,0.0,1
53,Remembering No Goods,2,15.71798324584961,1
54,Backtracking,2,0.0,1
55,Remembering No Goods,2,0.0,1
56,Backtracking,2,0.0,1
